iter	Passed	Remaining
340	9852	19040
341	9879	19007
342	9906	18976
343	9932	18941
344	9960	18910
345	9990	18884
346	10020	18856
347	10048	18826
348	10077	18798
349	10102	18761
350	10129	18728
351	10155	18694
352	10180	18659
353	10208	18628
354	10233	18593
355	10257	18554
356	10280	18517
357	10306	18482
358	10330	18444
359	10352	18404
360	10380	18373
361	10404	18337
362	10428	18299
363	10455	18267
364	10480	18232
365	10507	18201
366	10527	18158
367	10554	18126
368	10583	18097
369	10609	18065
370	10637	18035
371	10665	18005
372	10693	17975
373	10721	17945
374	10747	17913
375	10775	17882
376	10803	17853
377	10830	17821
378	10858	17792
379	10886	17762
380	10913	17731
381	10940	17700
382	10969	17671
383	10996	17641
384	11022	17607
385	11049	17575
386	11076	17545
387	11104	17515
388	11132	17485
389	11160	17456
390	11190	17430
391	11219	17402
392	11246	17371
393	11279	17349
394	11305	17315
395	11333	17286
396	11361	17257
397	11388	17225
398	11417	17197
399	11445	17168
400	11470	17134
401	11498	17105
